in s,C1 in V,C2 in V
-7.43272E-04,1.810162E-01,1.449585E-03
-7.43256E-04,3.636292E-02,2.365112E-03
-7.43240E-04,2.415588E-02,8.316040E-03
-7.43224E-04,1.973083E-02,7.858276E-03
-7.43208E-04,1.439026E-02,8.773804E-03
-7.43192E-04,2.125671E-02,1.274109E-02
-7.43176E-04,1.576355E-02,-7.629395E-05
-7.43160E-04,2.171448E-02,1.411438E-02
-7.43144E-04,2.217224E-02,6.332397E-03
-7.43128E-04,2.308777E-02,2.365112E-03
-7.43112E-04,1.881531E-02,2.975464E-03
-7.43096E-04,2.018860E-02,6.790161E-03
-7.43080E-04,2.415588E-02,4.348755E-03
-7.43064E-04,2.136583E+00,7.825470E-01
-7.43048E-04,3.116502E+00,2.802048E+00
-7.43032E-04,3.305711E+00,3.245773E+00
-7.43016E-04,3.327684E+00,3.307877E+00
-7.43000E-04,3.331498E+00,3.316269E+00
-7.42984E-04,3.324785E+00,3.322067E+00
-7.42968E-04,3.335923E+00,3.319168E+00
-7.42952E-04,3.332567E+00,3.322525E+00
-7.42936E-04,3.328141E+00,3.327408E+00
-7.42920E-04,3.329057E+00,3.322067E+00
-7.42904E-04,3.328599E+00,3.319168E+00
-7.42888E-04,3.330125E+00,3.315659E+00
-7.42872E-04,3.332567E+00,3.323135E+00
-7.42856E-04,3.328599E+00,3.305893E+00
-7.42840E-04,3.335923E+00,3.313217E+00
-7.42824E-04,3.334550E+00,3.312302E+00
-7.42808E-04,3.330125E+00,3.312759E+00
-7.42792E-04,3.332567E+00,3.314285E+00
-7.42776E-04,3.329667E+00,3.322525E+00
-7.42760E-04,3.329667E+00,3.315659E+00
-7.42744E-04,3.328141E+00,3.316727E+00
-7.42728E-04,3.332567E+00,3.312302E+00
-7.42712E-04,3.328599E+00,3.312759E+00
-7.42696E-04,3.321733E+00,3.320084E+00
-7.42680E-04,3.332109E+00,3.315659E+00
-7.42664E-04,3.328599E+00,3.314743E+00
-7.42648E-04,3.333024E+00,3.313828E+00
-7.42632E-04,3.327684E+00,3.315659E+00
-7.42616E-04,3.331498E+00,3.317642E+00
-7.42600E-04,3.338365E+00,3.311386E+00
-7.42584E-04,3.337907E+00,3.317184E+00
-7.42568E-04,3.325242E+00,3.314285E+00
-7.42552E-04,3.334550E+00,3.323593E+00
-7.42536E-04,3.328599E+00,3.316269E+00
-7.42520E-04,3.332109E+00,3.305893E+00
-7.42504E-04,3.333940E+00,3.312759E+00
-7.42488E-04,3.329667E+00,3.315201E+00
