clk,re,en,rst,sig_label,current,e,spike,voltage
0,0,1,0,0,0001100100000,00000100101,1,0011101111110
1,0,1,0,0,0001100100000,00000100101,1,0011101111110
0,0,1,0,0,0001100100000,00000100110,1,0011110110111
1,0,1,0,0,0001100100000,00000100110,1,0011110110111
0,0,1,0,0,0001100100000,00000100111,1,0011101110101
1,0,1,0,0,0001100100000,00000100111,1,0011101110101
0,0,1,0,0,0001100100000,00000101000,0,1111111100111
1,0,1,0,0,0001100100000,00000101000,0,1111111100111
0,0,1,0,0,0001100100000,00000101000,0,1111111011100
1,0,1,0,0,0001100100000,00000101000,0,1111111011100
0,0,1,0,0,0001100100000,00000101000,0,1111111101000
1,0,1,0,0,0001100100000,00000101000,0,1111111101000
0,0,1,0,0,0001100100000,00000101000,0,1111111011010
1,0,1,0,0,0001100100000,00000101000,0,1111111011010
0,0,1,0,0,0001100100000,00000101000,1,0011110100110
1,0,1,0,0,0001100100000,00000101000,1,0011110100110
0,0,1,0,0,0001100100000,00000101001,1,0011101110010
1,0,1,0,0,0001100100000,00000101001,1,0011101110010
0,0,1,0,0,0001100100000,00000101010,1,0011110101010
1,0,1,0,0,0001100100000,00000101010,1,0011110101010
0,0,1,0,0,0001100100000,00000101011,1,0011101100111
1,0,1,0,0,0001100100000,00000101011,1,0011101100111
0,0,1,0,0,0001100100000,00000101100,0,1111111100110
1,0,1,0,0,0001100100000,00000101100,0,1111111100110
0,0,1,0,0,0001100100000,00000101100,0,1111111011010
1,0,1,0,0,0001100100000,00000101100,0,1111111011010
0,0,1,0,0,0001100100000,00000101100,0,1111111100111
1,0,1,0,0,0001100100000,00000101100,0,1111111100111
0,0,1,0,0,0001100100000,00000101100,0,1111111011001
1,0,1,0,0,0001100100000,00000101100,0,1111111011001
0,0,1,0,0,0001100100000,00000101100,1,0011110011110
1,0,1,0,0,0001100100000,00000101100,1,0011110011110
0,0,1,0,0,0001100100000,00000101101,1,0011101100101
1,0,1,0,0,0001100100000,00000101101,1,0011101100101
0,0,1,0,0,0001100100000,00000101110,1,0011110100011
1,0,1,0,0,0001100100000,00000101110,1,0011110100011
0,0,1,0,0,0001100100000,00000101111,1,0011101011111
1,0,1,0,0,0001100100000,00000101111,1,0011101011111
0,0,1,0,0,0001100100000,00000110000,0,1111111100101
1,0,1,0,0,0001100100000,00000110000,0,1111111100101
0,0,1,0,0,0001100100000,00000110000,0,1111111011001
1,0,1,0,0,0001100100000,00000110000,0,1111111011001
0,0,1,0,0,0001100100000,00000110000,0,1111111100101
1,0,1,0,0,0001100100000,00000110000,0,1111111100101
0,0,1,0,0,0001100100000,00000110000,0,1111111011000
1,0,1,0,0,0001100100000,00000110000,0,1111111011000
0,0,1,0,0,0001100100000,00000110000,1,0011110010111
1,0,1,0,0,0001100100000,00000110000,1,0011110010111
0,0,1,0,0,0001100100000,00000110001,1,0011101011101
1,0,1,0,0,0001100100000,00000110001,1,0011101011101
0,0,1,0,0,0001100100000,00000110010,1,0011110010110
1,0,1,0,0,0001100100000,00000110010,1,0011110010110
0,0,1,0,0,0001100100000,00000110011,1,0011101011001
1,0,1,0,0,0001100100000,00000110011,1,0011101011001
0,0,1,0,0,0001100100000,00000110100,0,1111111100011
1,0,1,0,0,0001100100000,00000110100,0,1111111100011
0,0,1,0,0,0001100100000,00000110100,0,1111111011000
1,0,1,0,0,0001100100000,00000110100,0,1111111011000
0,0,1,0,0,0001100100000,00000110100,0,1111111100100
1,0,1,0,0,0001100100000,00000110100,0,1111111100100
0,0,1,0,0,0001100100000,00000110100,0,1111111010110
1,0,1,0,0,0001100100000,00000110100,0,1111111010110
0,0,1,0,0,0001100100000,00000110100,1,0011110001011
1,0,1,0,0,0001100100000,00000110100,1,0011110001011
0,0,1,0,0,0001100100000,00000110101,1,0011101010111
1,0,1,0,0,0001100100000,00000110101,1,0011101010111
0,0,1,0,0,0001100100000,00000110110,1,0011110010000
1,0,1,0,0,0001100100000,00000110110,1,0011110010000
0,0,1,0,0,0001100100000,00000110111,1,0011101001100
1,0,1,0,0,0001100100000,00000110111,1,0011101001100
0,0,1,0,0,0001100100000,00000111000,0,1111111100010
1,0,1,0,0,0001100100000,00000111000,0,1111111100010
0,0,1,0,0,0001100100000,00000111000,0,1111111010111
1,0,1,0,0,0001100100000,00000111000,0,1111111010111
0,0,1,0,0,0001100100000,00000111000,0,1111111100011
1,0,1,0,0,0001100100000,00000111000,0,1111111100011
0,0,1,0,0,0001100100000,00000111000,0,1111111010101
1,0,1,0,0,0001100100000,00000111000,0,1111111010101
0,0,1,0,0,0001100100000,00000111000,1,0011110000101
1,0,1,0,0,0001100100000,00000111000,1,0011110000101
0,0,1,0,0,0001100100000,00000111001,1,0011101010000
1,0,1,0,0,0001100100000,00000111001,1,0011101010000
0,0,1,0,0,0001100100000,00000111010,1,0011110001001
1,0,1,0,0,0001100100000,00000111010,1,0011110001001
0,0,1,0,0,0001100100000,00000111011,1,0011101000111
1,0,1,0,0,0001100100000,00000111011,1,0011101000111
0,0,1,0,0,0001100100000,00000111100,0,1111111100001
1,0,1,0,0,0001100100000,00000111100,0,1111111100001
0,0,1,0,0,0001100100000,00000111100,0,1111111010111
1,0,1,0,0,0001100100000,00000111100,0,1111111010111
0,0,1,0,0,0001100100000,00000111100,0,1111111100011
1,0,1,0,0,0001100100000,00000111100,0,1111111100011
0,0,1,0,0,0001100100000,00000111100,0,1111111010100
1,0,1,0,0,0001100100000,00000111100,0,1111111010100
0,0,1,0,0,0001100100000,00000111100,1,0011101111110
1,0,1,0,0,0001100100000,00000111100,1,0011101111110
0,0,1,0,0,0001100100000,00000111101,1,0011101010000
1,0,1,0,0,0001100100000,00000111101,1,0011101010000
